FILE	TUM_ID	SLX_ID
14499.i704_i503	SD0507	14499
14336.i710_i504	SD0560	14336
15093.i704_i502	SD0683	15093
14499.i702_i507	SD0693	14499
14336.i709_i505	SD1043	14336
15093.i706_i517	SD1182	15093
15098.i710_i517	SD1225	15098
15098.i707_i517	SD0781	15098
15093.i701_i506	SD0403	15093
14500.i711_i507	SD0532	14500
14287.i711_i507 SD0532	14287
